country,article_name,revision_id,article_quality
Chad,Bir I of Kanem,355319463,Stub
Palestinian Territory,Information Minister of the Palestinian National Authority,393276188,Stub
Cambodia,Yos Por,393822005,Stub
Czech Republic,Julius Gregr,395521877,Stub
Czech Republic,Edvard Gregr,395526568,Stub
Canada,Robert Douglas Cook,401577829,Stub
Egypt,List of Grand Viziers of Egypt,442937236,Stub
Pakistan,Sehba Musharraf,448555418,Stub
United States,Butler-Belmont family,470173494,Stub
Canada,List of Canadian incumbents by year,477962574,Stub
India,Sheikh Sadiq Ali Ansari,492060822,Stub
Philippines,Cayetano Pacana,492964343,Stub
Chad,Abdullah II of Kanem,498683267,Stub
United States,Heard-Hawes family,502721672,Stub
Poland,List of politicians in Poland,516633096,Stub
Germany,List of German politicians,521986779,Stub
Malawi,Raspicious Dzanjalimodzi,532253442,Stub
Nicaragua,Manuel Antonio Blas Sáenz,543225630,Stub
Hungary,Béla Vörösmarty,545936100,Stub
French Guiana,Presidents of the General Council of French Guiana,546364151,Stub
Norway,Finn Sjue,549300521,Stub
Vanuatu,Tingtingru,550682925,Stub
United States,Russell family (American political family),550953646,Stub
Philippines,Maximo Suniel,559553872,Stub
Hungary,Mihály Mikes (soldier),559788982,Stub
Iran,The Man with the Chocolate Robe,560758943,Stub
Malta,List of Malta Labour Party leaders,561744402,Stub
Spain,Marquis of Amboage,564873005,Stub
Chad,Salmama II of Kanem,565745353,Stub
Chad,Kuri I of Kanem,565745365,Stub
Chad,Mohammed I of Kanem,565745375,Stub
Salvadoran,Timoteo Menéndez,566504165,Stub
Malta,"List of members of the parliament of Malta, 2008–13",573710096,Stub
Rhodesian,Gervas Clay,574571582,Stub
Ghana,Samuel Nii Ayi Mankattah,576988466,Stub
Tanzania,Hemed Khamis,585894477,Stub
"Congo, Dem. Rep. of",Mavua Mudima,592289232,Stub
Togo,Council of Ministers of Togo,595693452,Stub
Palestinian Territory,Finance Minister of the Palestinian National Authority,596181202,Stub
United Arab Emirates,Abdullah Al Nuaimi (politician),598819900,Stub
China,Zhang Zhenzhou,601122766,Stub
China,Feng Liao,601127343,Stub
China,Wu Shihuo,614786300,Stub
Kenya,Kennedy Kiliku,623004627,Stub
Angola,Kamu de Almeida,623334577,Stub
Slovenia,Hiša Marije Pomočnice,624468970,Stub
Croatia,Đuro Šurmin,625509885,Stub
Japan,Suishō,626606789,Stub
Russia,Nikolai Sulima,627001041,Stub
South Africa,Khayelihle Mathaba,627051151,Stub
Finland,Vilho Turunen,627432937,Stub
Afghanistan,Daud Arsala,627547024,Stub
Finland,Vihtori Aromaa,628261896,Stub
Finland,Jonathan Wartiovaara,628268705,Stub
Finland,Arvi Turkka,628270736,Stub
Finland,Juho Heikkinen,628312759,Stub
Finland,Emanuel Aromaa,628379479,Stub
Finland,Jukka Lankila,628563978,Stub
Finland,Jalmari Malmi,628619000,Stub
Finland,Viljo Pousi,628766656,Stub
Finland,Jooseppi Kauranen,628988952,Stub
Pakistan,Sardar Aurang Zeb Khan,629562076,Stub
Tanzania,Jeremiah Kasambala,629818376,Stub
Finland,Sofia Hjulgrén,630396351,Stub
Finland,Vihtori Viitanen,630396786,Stub
Philippines,Tirso Neri,630704768,Stub
Greece,Cleisthenes (son of Sibyrtius),631437331,Stub
Greece,Demonax (lawmaker),631581752,Stub
Canada,List of 2009 Canadian incumbents,632008524,Stub
United Kingdom,"Zero, None Of The Above",632261377,Stub
Finland,Johan Franzén (politician),632447328,Stub
Palestinian Territory,Planning Minister of the Palestinian National Authority,633612729,Stub
China,Liu Hongchang,634032715,Stub
Ireland,Custos Rotulorum of County Wicklow,635240253,Stub
Ireland,Custos Rotulorum of County Cork,635814126,Stub
India,Book:Two Political Biographies,636911471,Stub
Greece,Hegesippus (orator),637801253,Stub
India,Pheroze Sethna,638214719,Stub
Tunisia,Ibrahim Kassas,638362866,Stub
India,Dilip Sarkar,638377138,Stub
East Timorese,"List of members of the parliament of East Timor, 2001–07",638566016,Stub
South Sudan,Gatluak Deng Garang,638571205,Stub
Botswana,List of members of the National Assembly of Botswana 2009–14,638599355,Stub
Nigeria,Aliyu Ibrahim Gebi,639021339,Stub
China,Wang Jichang,639061161,Stub
Brazil,Waldemir Moka,639471171,Stub
Ireland,Custos Rotulorum of County Waterford,640014648,Stub
"Korea, South",Lee Ja-kyum,640214913,Stub
China,Wei Huan-zi,640826254,Stub
Chile,O'Higgins Pioche,641422326,Stub
San Marino,"List of Captains Regent of San Marino, 1500–1700",643410335,Stub
Denmark,Eiler Grubbe,643746000,Stub
Faroese,"List of members of the Løgting, 1974–78",643932216,Stub
Faroese,"List of members of the Løgting, 1978–80",643932220,Stub
Faroese,"List of members of the Løgting, 1980–84",643932225,Stub
Faroese,"List of members of the Løgting, 1984–88",643932226,Stub
Faroese,"List of members of the Løgting, 1990–94",643932239,Stub
Faroese,"List of members of the Løgting, 1994–98",643932242,Stub
Finland,Olli Zitting,644024203,Stub
France,Pierre Philibert de Blancheton,644041882,Stub
Albania,Luiza Xhuvani,644399375,Stub
Spain,Diego de Villalba y Toledo,645225697,Stub
Zimbabwe,Jabulani Dube,645408814,Stub
Cape Colony,James Bisset (mayor),647367482,Stub
Benin,Ministry of Economy and Finance (Benin),647450883,Stub
Romania,Gheorghe Barbu,647483021,Stub
China,Pan Yunduan,647832959,Stub
Finland,Otto Elfving,647893858,Stub
Sri Lanka,List of Sri Lankan politicians,648048611,Stub
India,Fathema Ismail,648271473,Stub
Spain,Rafael Simancas,650458255,Stub
Philippines,Adela Serra-Ty,650462344,Stub
Syria,Muhammad al-Ghafri,650494773,Stub
Cape Colony,Augustus Joseph Tancred,651250302,Stub
Uruguay,Eneida de León,651785828,Stub
United States,Read family of Delaware,651856758,Stub
Cape Colony,Johan Conrad Silberbauer,653467222,Stub
Canada,Rossy Barbour,653527941,Stub
Ghana,Reginald Nii Bi Ayibonte,653895210,Stub
Poland,Franz Schimmelpfennig von der Ove,654012510,Stub
Finland,Ville Korhonen (politician),655031906,Stub
Finland,Onni Hallsten,655032578,Stub
Uganda,Yosia Nadiope of Busoga,655390291,Stub
Colombia,María del Socorro Bustamante,655980284,Stub
Uruguay,Enrique Pintado,656352211,Stub
Uruguay,Instructions of the Year XIII,656386131,Stub
Moldova,Governor of Gagauzia,656737492,Stub
Egypt,Neferkheperu-her-sekheper,657176628,Stub
Ghana,Abeifaa Karbo,658939122,Stub
France,Auguste Louis Antoine Fabre,659315526,Stub
Tajikistan,Maksud Ibragimov,660214915,Stub
Nicaragua,Miguel R. Morales,660579437,Stub
Bosnia-Herzegovina,Aljoša Čampara,660884852,Stub
Germany,Walter Simon (philanthropist),662681733,Stub
Jordan,Abu Sayyaf (Jordan),662927043,Stub
"Congo, Dem. Rep. of",List of provincial governors of the Democratic Republic of the Congo,663088604,Stub
Denmark,Torsten Nielsen,663166199,Stub
South Korean,"List of members of the National Assembly (South Korea), 1950–54",663348266,Stub
Pakistan,Mufti Abdullah,663572469,Stub
South Africa,William Matthew Harries,663617582,Stub
New Zealand,Maanu Paul,663783398,Stub
Lithuania,County governor (Lithuania),663880497,Stub
Indonesia,Burhan Muhammad,664532059,Stub
Portugal,Martim Afonso de Brito,664669156,Stub
China,Gonghe Regency,664787336,Stub
Kenya,Irshadali Sumra,664793790,Stub
China,Koufu,664814622,Stub
India,Political families of Odisha,664822251,Stub
Belgium,Firmin Aerts,666029819,Stub
Cape Colony,James Cotterell Hoole,666596918,Stub
South Africa,Philip Johannes Andries Watermeyer,666610075,Stub
Romania,Ioan Rus,666752677,Stub
Netherlands,Pieter Adrianus Ossewaarde,667194771,Stub
Netherlands,Christoffel van Swoll,667198201,Stub
United States,National Foundation for Women Legislators,667815878,Stub
Canada,Les Scheininger,667821864,Stub
Canada,Patrick Canning,667873261,Stub
Bulgaria,Kalina Krumova,667906849,Stub
France,Pierre Chatenet,668091068,Stub
Monaco,Henry Soum,668095014,Stub
India,Brij Bhushan Mehra,668258382,Stub
Romania,Aurelian Pavelescu,668449610,Stub
South Sudan,Madut Kon Awan,668830946,Stub
Morocco,Taieb Ghafes,669266906,Stub
Poland,Teodor Andrault de Langeron,669301445,Stub
Rhodesian,Harry Davies (politician),669387487,Stub
Lebanon,Ghassan Ashqar,669444168,Stub
Iceland,Magnús Orri Schram,669565720,Stub
Sierra Leone,Wusu Sannoh,669571173,Stub
Chad,Kuri II of Kanem,669719757,Stub
Tunisia,Laroussi Mizouri,669831602,Stub
Yemen,Hashid Abdullah al-Ahmar,669833212,Stub
Kyrgyzstan,Erkin Alymbekov,669833349,Stub
Italy,Angelo Staniscia,669835390,Stub
Pakistan,Malik Adnan Hayat Noon,669841183,Stub
Benin,Samou Seidou Adambi,669855022,Stub
Mexico,Porfirio Smerdou,669862709,Stub
Sweden,Lise Nordin,669869895,Stub
Zimbabwe,Fletcher Dulini,669981316,Stub
Poland,Krzysztof Abrahamowicz,669985109,Stub
Turkey,Dilaver Bey,669987106,Stub
Madagascar,Horace Mann Thu-Jaune,670134982,Stub
Cape Colony,Patrick Goold,670210734,Stub
Afghanistan,Murad Quenili,670462475,Stub
Chad,Bir II of Kanem,670893206,Stub
Canada,Gerald Hill (politician),670917017,Stub
France,List of Presidents of Alsace,670960027,Stub
Canada,John R. O'Dea,670971940,Stub
Turkmenistan,Annaberdi Kakabaýew,671016281,Stub
Yemen,Salim Yahya al-Kharega,671023940,Stub
Tanzania,Faida Mohamed Bakar,671029717,Stub
Kenya,Hosea Kiplagat,671032132,Stub
Grenada,Michael D. Lett,671047987,Stub
Cambodia,Than Sina,671073599,Stub
Canada,Samuel J. Hefferton,671122320,Stub
Armenia,Armen Rustamyan,671189093,Stub
Somalia,Abdulahi Ahmed Afrah,671338098,Stub
Iceland,Ólafur Garðar Einarsson,671338216,Stub
Afghanistan,Badar,671455150,Stub
Slovakia,Dušan Švantner,671461616,Stub
Iceland,Óli Þorbjörn Guðbjartsson,671462644,Stub
Afghanistan,Mohammed Qalamuddin,671473289,Stub
France,Patrick Bourson,671475479,Stub
Madagascar,Lininy,671483959,Stub
Nepal,Bharat Saud,671484594,Stub
Nigeria,Azeez Issa Adesiji,671511760,Stub
Samoan,Toluono Feti,671515606,Stub
Iraq,Ali al-Bahadili,671516033,Stub
Moldova,Valerian Revenco,671637265,Stub
Vietnam,Presidential Palace Historical Site,671868722,Stub
Russia,Viktor Antonov,671890885,Stub
Peru,Elsa Malpartida,671891037,Stub
Madagascar,Rasoanaivo,671895550,Stub
Mali,Sadio Lamine Sow,671897239,Stub
Nepal,Narayan Sharma Paudel,671903264,Stub
Tonga,Mataʻiʻulua ‘i Fonuamotu,672119030,Stub
Myanmar,San Tun,672156082,Stub
Japan,Masahiro Futahashi,672284154,Stub
Greece,Yannis Moralis (politician),672515581,Stub
Argentina,Macarena Escudero,672547562,Stub
France,André Boulloche,672709444,Stub
Czech Republic,Miroslav Poche,672862914,Stub
Czech Republic,Vojtěch Mynář,673008587,Stub
Argentina,Norma Colpari,673393730,Stub
Liberia,Roosevelt Jayjay,674487383,Stub
Ghana,Joshua Nii Laryea Afotey-Agbo,674576443,Stub
Congo,Military Committee of the Congolese Party of Labour,674702694,Stub
Montserratian,Speaker of the Legislative Assembly of Montserrat,674919905,Stub
Qatar,Ahmad bin Eid al-Thani,675271208,Stub
Uruguay,Liga Federal,675303236,Stub
Jamaica,George Samuel Ranglin,675376529,Stub
Argentina,Rubén Pellanda,676040670,Stub
Argentina,Raúl Lacabanne,676043559,Stub
Argentina,Juan Carlos Reyes (governor),676044272,Stub
Argentina,Bernardo Bas,676498385,Stub
Canada,Alexander Dunphy,676610041,Stub
Canada,Gordon Dawe,676612108,Stub
Fiji,Bijai Prasad,676661990,Stub
Guyana,Barton Scotland,676691070,Stub
Canada,Paul Thoms,676732644,Stub
