,country,article_name,revision_id,article_quality,Geography,Population mid-2018 (millions)
1,Palestinian Territory,Information Minister of the Palestinian National Authority,393276188,Stub,,
3,Czech Republic,Julius Gregr,395521877,Stub,,
4,Czech Republic,Edvard Gregr,395526568,Stub,,
19,French Guiana,Presidents of the General Council of French Guiana,546364151,Stub,,
31,Salvadoran,Timoteo Menéndez,566504165,Stub,,
33,Rhodesian,Gervas Clay,574571582,Stub,,
36,"Congo, Dem. Rep. of",Mavua Mudima,592289232,Stub,,
38,Palestinian Territory,Finance Minister of the Palestinian National Authority,596181202,Stub,,
71,Palestinian Territory,Planning Minister of the Palestinian National Authority,633612729,Stub,,
80,East Timorese,"List of members of the parliament of East Timor, 2001–07",638566016,Stub,,
92,Faroese,"List of members of the Løgting, 1974–78",643932216,Stub,,
93,Faroese,"List of members of the Løgting, 1978–80",643932220,Stub,,
94,Faroese,"List of members of the Løgting, 1980–84",643932225,Stub,,
95,Faroese,"List of members of the Løgting, 1984–88",643932226,Stub,,
96,Faroese,"List of members of the Løgting, 1990–94",643932239,Stub,,
97,Faroese,"List of members of the Løgting, 1994–98",643932242,Stub,,
103,Cape Colony,James Bisset (mayor),647367482,Stub,,
113,Cape Colony,Augustus Joseph Tancred,651250302,Stub,,
116,Cape Colony,Johan Conrad Silberbauer,653467222,Stub,,
135,"Congo, Dem. Rep. of",List of provincial governors of the Democratic Republic of the Congo,663088604,Stub,,
137,South Korean,"List of members of the National Assembly (South Korea), 1950–54",663348266,Stub,,
149,Cape Colony,James Cotterell Hoole,666596918,Stub,,
165,Rhodesian,Harry Davies (politician),669387487,Stub,,
182,Cape Colony,Patrick Goold,670210734,Stub,,
206,Samoan,Toluono Feti,671515606,Stub,,
221,Czech Republic,Miroslav Poche,672862914,Stub,,
222,Czech Republic,Vojtěch Mynář,673008587,Stub,,
227,Montserratian,Speaker of the Legislative Assembly of Montserrat,674919905,Stub,,
242,Cape Colony,Andries Botha,676828191,Stub,,
264,Salvadoran,Joaquín Escolán y Balibrera,679294949,Stub,,
276,Cape Colony,Charles William Hutton,680205631,Stub,,
278,Pitcairn Islands,Chairman of the Island Council (Pitcairn),680532939,Stub,,
286,Palestinian Territory,Hossam Arafat (politician),680933208,Stub,,
293,Rhodesian,William Fairbridge,682576258,Stub,,
332,Saint Kitts and Nevis,Earl Asim Martin,687127320,Stub,,
397,Cape Colony,John Blades Currey,693624260,Stub,,
410,Abkhazia,Zaur Avidzba,694519009,Stub,,
510,Faroese,"List of members of the Løgting, 1998–2002",698865505,Stub,,
582,East Timorese,José Abel,699698855,Stub,,
600,Faroese,Tórbjørn Poulsen,700400143,Stub,,
615,Palestinian Territory,Tawfik Tirawi,701106976,Stub,,
625,Faroese,Demmus Hentze,701771698,Stub,,
656,Niuean,Young Vivian,703037968,Stub,,
675,Ivorian,Noel Ahipeaud,703133769,Stub,,
679,Martinique,Claude Lise,703216645,Stub,,
706,Carniolan,Simon Jenko,703436823,Stub,,
709,South Korean,Park In-won,703478926,Stub,,
728,Saint Kitts and Nevis,Paul Southwell,703666654,Stub,,
737,Saint Lucian,Petrus Compton,703819839,Stub,,
758,Czech Republic,Jan Malypetr,704424304,Stub,,
794,South African Republic,Thomas François Burgers,704636517,Stub,,
804,Hondura,Céleo Arias,704789339,Stub,,
823,Samoan,James Ah Koy,704919844,Stub,,
827,Abkhazia,Zaur Ardzinba,704938340,Stub,,
840,Czech Republic,Emanuel Moravec,705080136,Stub,,
858,Samoan,Va'aelua Eti Alesana,705218371,Stub,,
887,Hondura,Juan Francisco de Molina,705346284,Stub,,
888,Hondura,Felipe Neri Medina,705346304,Stub,,
889,Hondura,Mariano Garrigó,705346378,Stub,,
890,Hondura,José María Bustillo (Honduran),705346396,Stub,,
891,Hondura,Francisco Gómez (acting president),705346462,Stub,,
892,Hondura,Salvador Aguirre (Honduras),705346724,Stub,,
893,Hondura,Francisco Bográn,705346741,Stub,,
915,Salvadoran,Fermín Palacios,705353491,Stub,,
916,Salvadoran,Eugenio Aguilar,705353565,Stub,,
917,Salvadoran,Tomás Medina,705353584,Stub,,
918,Salvadoran,Ramón Rodríguez (Salvadoran politician),705353647,Stub,,
